title,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,dataset,cluster,cluster2
Kill Bill,SZA,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,audio_features,3OHfY25tqY28d16oZczHc8,spotify:track:3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/tracks/3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/audio-analysis/3OHfY25tqY28d16oZczHc8,153947,4,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8,hot_songs,1,5
Last Night,Morgan Wallen,0.502,0.667,6,-5.486,1,0.0342,0.445,0.0,0.144,0.545,203.964,audio_features,6Hiz5MDYoGdLBBQ3gGzRam,spotify:track:6Hiz5MDYoGdLBBQ3gGzRam,https://api.spotify.com/v1/tracks/6Hiz5MDYoGdLBBQ3gGzRam,https://api.spotify.com/v1/audio-analysis/6Hiz5MDYoGdLBBQ3gGzRam,163855,4,https://open.spotify.com/track/6Hiz5MDYoGdLBBQ3gGzRam,hot_songs,4,4
Flowers,Miley Cyrus,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,4DHcnVTT87F0zZhRPYmZ3B,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/tracks/4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/audio-analysis/4DHcnVTT87F0zZhRPYmZ3B,200455,4,https://open.spotify.com/track/4DHcnVTT87F0zZhRPYmZ3B,hot_songs,1,2
Princess Diana,Ice Spice & Nicki Minaj,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,audio_features,0ZxhtATQ0a6EvQNZ0z6NKV,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4,https://open.spotify.com/track/0ZxhtATQ0a6EvQNZ0z6NKV,hot_songs,1,5
Ella Baila Sola,Eslabon Armado X Peso Pluma,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,audio_features,3dnP0JxCgygwQH9Gm7q7nb,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,165671,3,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,hot_songs,1,5
Creepin',"Metro Boomin, The Weeknd & 21 Savage",0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,hot_songs,2,2
Calm Down,Rema & Selena Gomez,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,hot_songs,1,5
Die For You,The Weeknd & Ariana Grande,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,audio_features,7oDd86yk8itslrA9HRP2ki,spotify:track:7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,232857,4,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki,hot_songs,4,1
Search & Rescue,Drake,0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,audio_features,00sydAz6PeOxYzwG1dRIPi,spotify:track:00sydAz6PeOxYzwG1dRIPi,https://api.spotify.com/v1/tracks/00sydAz6PeOxYzwG1dRIPi,https://api.spotify.com/v1/audio-analysis/00sydAz6PeOxYzwG1dRIPi,208133,4,https://open.spotify.com/track/00sydAz6PeOxYzwG1dRIPi,hot_songs,4,4
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv,hot_songs,1,5
Anti-Hero,Taylor Swift,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,hot_songs,1,2
La Bebe,Yng Lvcas x Peso Pluma,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,audio_features,2UW7JaomAMuX9pZrjVpHAU,spotify:track:2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/tracks/2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/audio-analysis/2UW7JaomAMuX9pZrjVpHAU,234353,4,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU,hot_songs,3,3
Chemical,Post Malone,0.491,0.948,9,-5.534,0,0.0583,0.000113,0.935,0.75,0.395,137.989,audio_features,5emjxUlQxpboOOiqUbhWMX,spotify:track:5emjxUlQxpboOOiqUbhWMX,https://api.spotify.com/v1/tracks/5emjxUlQxpboOOiqUbhWMX,https://api.spotify.com/v1/audio-analysis/5emjxUlQxpboOOiqUbhWMX,217391,4,https://open.spotify.com/track/5emjxUlQxpboOOiqUbhWMX,hot_songs,4,1
Favorite Song,Toosii,0.816,0.367,2,-9.354,1,0.0588,0.314,0.0,0.0987,0.413,116.035,audio_features,1SRw5p2lVAi7RGlHEmZg66,spotify:track:1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/tracks/1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/audio-analysis/1SRw5p2lVAi7RGlHEmZg66,208630,4,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66,hot_songs,1,2
